Cod_SAP,CNPJ,RazaoSocial,Rua_Numero,matriz_filial,nome_fantasia,codigo_situacao_cadastral,data_situacao_cadastral,motivo_situacao_cadastral,nome_cidade_exterior,codigo_pais,data_inicio_atividade,cnae_principal,cnae_secundario,tipo_logradouro,logradouro,numero,complemento,bairro,cep,uf,codigo_municipio_siafi,ddd1,telefone1,ddd2,telefone2,dddfax,fax,email,situacao_especial,data_situacao_especial,cnpj_basico,cnpj_ordem,cnpj_dv,latitude,longitude
498,00008226000139,AUTO POSTO MANGUEIRA II LTDA,"AV BRIG JOSE V F LIMA, 1103",1,null,02,20031004,00,null,null,19940523,4731800,4732600,AVENIDA,BRIG JOSE V F LIMA,1103,null,JD ANA EMILIA,12070000,SP,7183,12,36227189,null,null,null,null,POSTOMANGUEIRA@GMAIL.COM,null,null,00008226,0001,39,-23.0153808,-45.5369891
509,00017512000160,MILENA ELOISA VILLAVERDE POSTO DE COMBUSTIVEIS LTDA,"AV ONZE DE JUNHO, 1519",1,null,02,20030816,00,null,null,19940614,4731800,4732600,AVENIDA,ONZE DE JUNHO,1519,null,VILA CLEMENTINO,04041054,SP,7107,11,43249264,null,null,null,null,CA.FASCINACAO@UOL.COM.BR,null,null,00017512,0001,60,-23.601527,-46.6509391
49399,04963811000149,POSTO SAO JOAO DOS LAGOS GAS LTDA.,"ROD AMARAL PEIXOTO, 555",1,POSTO SUPER GAS,02,20040724,00,null,null,20020319,4731800,"4732600,3520402",RODOVIA,AMARAL PEIXOTO,555,QUADRA04                  LOTE  A 1,VILA CAMPO ALEGRE,28880000,RJ,5825,27,34218835,null,null,null,null,JOELSON@REDEMARCELA.COM.BR,null,null,04963811,0001,49,-22.5620382,-41.9839668
5477,03341764000139,POSTO MONTE MORIA LTDA,"SENADOR RODRIGO LOBO, 1400",1,null,02,20051103,00,null,null,19990813,4731800,"4732600,4729699,4520005",RUA,SENADOR RODRIGO LOBO,1400,null,IRIRIU,89227557,SC,8179,null,null,null,null,null,null,null,null,null,03341764,0001,39,null,null
63792,00062780000102,POSTO PARATI LTDA,"AV FILINTO MULLER, 645",1,AUTO POSTO PARATI,02,20020427,00,null,null,19940510,4731800,"4732600,4520005,4930203,4729602",AVENIDA,FILINTO MULLER,645,null,CENTRO,79600001,MS,9165,null,null,null,null,null,null,null,null,null,00062780,0001,02,-20.7610048,-51.7005565
608,00075021000176,AUTO POSTO FLOR DA CHAPADA LTDA,"RUBENS RIBEIRO, 27",1,null,02,20051014,00,null,null,19940524,4731800,"0151201,0151202,0151203,4732600,4930203",RUA,RUBENS RIBEIRO,27,CASA,CENTRO,46880000,BA,3595,null,null,null,null,null,null,JOSENILSON@JASCONTABILIDADE.COM.BR,null,null,00075021,0001,76,-12.5477492,-40.2271243
106905,03357977000159,AUTO POSTO ENTRE RIOS LTDA,"ROD BR 163, S/N",1,AUTO POSTO ENTRE RIOS,02,20051103,00,null,null,19740917,4731800,"4520005,4732600,4784900,4930202,4930203",RODOVIA,BR 163,S/N,      KM 324.6,PARQUE INDUSTRIAL LAUCIDIO COELHO,79130000,MS,9143,67,34163100,null,null,null,null,null,null,null,03357977,0001,59,-21.7803145,-54.5218074
59992,01715174000101,AUTO POSTO MASSUDA LTDA,"AV NEWTON PRADO, 185",1,null,02,20010428,00,null,null,19970218,4731800,4732600,AVENIDA,NEWTON PRADO,185,null,CENTRO,19400000,SP,6931,null,null,null,null,null,null,null,null,null,01715174,0001,01,-21.7718151,-51.8100218
636,00089377000169,POSTO JULIO DE CASTILHO LIMITADA,"ATLANTICA, S/N",1,null,02,20051103,00,null,null,19940610,4731800,4732600,AVENIDA,ATLANTICA,S/N,ESQ JULIO CASTILHOS,COPACABANA,22081020,RJ,6001,null,null,null,null,null,null,null,null,null,00089377,0001,69,-22.9844176,-43.1926201
640,00089746000113,ARAUJO PETROLEO LTDA,"ROD CE 293, S/N",1,POSTO ABAIARA,02,20050312,00,null,null,19940614,4731800,"4520004,4530703,4530705,4729699,4732600,4930203",RODOVIA,CE 293,SN,KM: 18;,VILA CAFE DA LINHA ZONA RURAL,63240000,CE,1301,88,35121731,null,null,null,null,ARAUJOJI@TERRA.COM.BR,null,null,00089746,0001,13,null,null
5542,03389606000159,AUTO POSTO ZAFANI RIO PRETO LTDA,"AV.MONTE APRAZIVEL, 2890/2900",1,IRMAOS ZAFANI,02,20051103,00,null,null,19990910,4731800,"4784900,4732600,4520005,4723700",AVENIDA,MONTE APRAZIVEL,2890,null,ELDORADO,15043450,SP,7097,17,32368616,17,96357201,null,null,POSTOZAFANI@HOTMAIL.COM,null,null,03389606,0001,59,-20.7915507,-49.4048773
65681,03399046000113,POSTO SAMUCA CUIABA LTDA,"R AMANCIO PEDROSO DE JESUS, 263",1,null,02,20050129,00,null,null,19990913,4731800,"4520005,4729602,4732600",RUA,AMANCIO PEDROSO DE JESUS,263,null,CARUMBE,78050660,MT,9067,65,36612938,null,null,null,null,clovesu@terra.com.br,null,null,03399046,0001,13,null,null
