data_venda,cod_produto,cod_SAP,valor_venda
2026-07-21,78,11250,2135.42
2026-05-19,1,1091785,593.57
2026-06-17,81,1585750,812.95
2026-04-08,32,13605,1814.39
2026-04-26,26,1648697,2255.81
2026-05-23,43,159330,349.44
2026-04-24,56,197530,515.26
2026-03-29,7,1701921,1991.65
2026-07-19,1,1631165,479.35
2026-05-02,16,1600723,290.58
2026-03-22,24,1572783,2124.69
2026-04-06,4,185061,816.25
2026-04-22,20,1733898,2270.22
2026-06-06,76,1775522,1454.41
2026-07-01,78,107479,2402.83
2026-07-18,54,156522,1673.87
2026-05-20,12,9832,1727.55
2026-05-03,70,1643675,223.71
2026-04-28,19,107626,1334.37
2026-03-21,36,107797,684.52
2026-06-23,57,1742759,1490.39
2026-05-02,25,1166522,2237.04
2026-03-13,50,165325,408.62
2026-05-10,72,1084783,1415.49
2026-05-04,39,133953,641.50
2026-05-12,66,175789,736.26
2026-05-22,68,12345,1786.58
2026-05-05,50,1619168,983.98
2026-03-02,8,1145861,804.80
2026-07-29,25,1088400,2417.74
2026-07-27,60,44325,1795.70
2026-06-24,50,1590796,391.02
2026-03-15,68,1119695,1937.64
2026-07-21,31,13691,663.20
2026-03-27,86,1116648,1555.16
2026-05-09,2,174553,891.94
2026-07-02,20,3645,1383.64
2026-05-02,7,104137,1014.59
2026-04-21,30,142609,992.14
2026-03-16,8,149566,284.43
2026-07-15,25,1586987,1483.33
2026-07-10,62,5604,1385.48
2026-04-04,57,75797,1977.99
2026-07-16,25,43337,875.91
2026-04-16,48,63650,1343.39
2026-03-17,66,1098081,1003.30
2026-07-17,33,6930,1951.91
2026-05-01,32,8091,2065.59
2026-03-18,48,111030,837.60
2026-06-30,57,18468,781.22
2026-06-02,23,1092780,609.04
2026-06-21,69,47613,664.28
2026-05-02,20,122080,1845.65
2026-03-19,9,1782828,2379.28
2026-05-21,72,107767,119.52
2026-03-25,73,147949,679.67
2026-06-15,22,20141,395.84
2026-06-06,78,59916,1163.79
2026-05-06,17,70382,1511.77
2026-07-04,19,149462,890.99
2026-07-04,84,16051,177.01
2026-05-02,12,11353,2315.99
2026-06-04,86,107966,370.64
2026-03-17,24,100018,2465.77
2026-03-15,80,158365,1930.66
2026-07-09,11,6683,430.93
2026-04-11,58,77663,287.47
2026-07-04,82,107884,1656.27
2026-07-01,80,103682,899.38
2026-04-02,70,15972,1674.31
2026-06-26,36,1080965,1272.64
2026-04-28,9,1176290,2495.56
2026-07-14,64,5837,1243.28
2026-03-14,78,84869,882.01
2026-03-23,71,1134076,1637.51
2026-03-14,47,1634072,819.83
2026-03-07,80,18876,2431.74
2026-06-14,72,1574120,2231.67
2026-05-28,31,7166,397.17
2026-04-24,30,155296,2088.42
2026-05-09,44,103682,1369.17
2026-04-24,19,1098081,1324.86
2026-03-04,39,1136634,2085.43
2026-05-06,20,85709,691.17
2026-04-16,76,188625,2005.66
2026-04-04,43,1794571,2375.22
2026-05-20,81,148095,1970.19
2026-05-10,73,1084468,1979.36
2026-06-08,25,13996,147.97
2026-05-13,82,107708,1025.13
2026-04-23,64,2339,1389.49
2026-06-24,57,1161033,2320.26
2026-04-04,80,1618004,913.71
2026-07-03,30,163809,413.88
2026-04-24,5,123246,157.18
2026-04-07,21,1794583,945.04
2026-04-17,54,59234,244.02
2026-06-08,75,1594433,1962.09
2026-03-08,82,70214,1577.16
2026-04-11,40,1132811,2280.26
2026-07-28,82,66572,1037.48
2026-05-12,16,3771,472.26
2026-04-08,37,1132270,1063.34
2026-04-24,50,1819240,830.95
2026-07-12,61,107931,1852.01
2026-05-25,35,1080260,2488.29
2026-04-06,1,108338,443.97
2026-04-26,46,1701933,880.00
2026-05-09,80,99061,1162.60
2026-05-02,21,14666,329.10
2026-04-15,52,10801,2250.82
2026-04-06,51,1137970,187.08
2026-05-05,70,19243,1243.01
2026-05-03,69,1646734,1097.52
2026-04-21,2,11725,1895.01
2026-07-05,32,13926,2200.22
2026-07-19,46,65607,418.57
2026-07-23,52,2408,2387.86
2026-05-13,31,78309,525.98
2026-03-10,42,63711,1403.54
2026-05-27,79,1525328,852.43
2026-05-18,14,1120375,347.59
2026-05-13,41,1098539,1808.89
2026-03-30,63,1146322,404.08
2026-07-21,33,1116713,1542.20
2026-05-17,51,1019782,1892.13
2026-05-19,47,1588006,2493.47
2026-03-31,34,71207,1444.11
2026-07-14,48,14538,1058.71
2026-03-31,72,63550,1888.80
2026-05-01,35,1774692,1717.56
2026-03-27,29,1775869,598.15
2026-07-11,70,179633,157.67
2026-04-08,6,63902,1868.46
2026-03-13,3,1174539,685.56
2026-04-06,19,31776,2204.65
2026-06-29,74,18320,2300.66
2026-03-05,65,107884,1990.43
2026-03-11,79,1084468,2290.22
2026-05-05,40,107813,1390.22
2026-03-30,60,1138851,1606.45
2026-03-22,73,12816,625.23
2026-04-28,78,4270,2470.72
2026-03-26,65,1091654,118.22
2026-05-26,79,85938,367.72
2026-04-15,81,11344,156.12
2026-04-01,78,45980,681.45
2026-06-24,63,1168988,2434.46
2026-05-11,13,8960,303.68
2026-06-07,31,1176044,968.95
2026-07-07,66,81435,2405.57
2026-04-22,57,21746,312.88
2026-04-28,1,1002850,1285.27
2026-05-02,2,1790916,864.61
2026-04-07,51,194830,289.62
2026-06-08,42,1629212,1061.23
2026-04-05,48,1127329,2115.02
2026-06-24,61,3124,1056.37
2026-07-10,85,8540,692.17
2026-06-13,26,132245,2392.18
2026-04-04,34,72428,1973.67
2026-04-26,76,79054,1780.45
2026-04-25,77,8015,747.02
2026-03-03,13,189620,1651.11
2026-06-19,68,126244,1695.65
2026-03-09,62,1132311,1958.36
2026-06-04,42,1109889,1030.11
2026-03-08,26,114929,775.86
2026-07-22,53,14530,751.69
2026-05-30,20,102428,191.19
2026-06-29,8,20497,1493.47
2026-03-28,36,107743,1370.80
2026-06-11,48,106932,637.91
2026-05-29,47,87897,774.28
2026-05-24,40,142609,2071.55
2026-04-14,40,1094690,2171.22
2026-06-07,40,67439,2276.04
2026-04-19,9,71257,1927.81
2026-06-25,37,107526,839.82
2026-04-28,77,1128421,895.62
2026-06-07,28,1710,2290.25
2026-05-17,30,168451,1402.39
2026-07-20,81,1800217,583.84
2026-07-19,69,3193,666.77
2026-05-07,77,1148281,623.75
2026-06-14,45,1808954,356.73
2026-04-15,39,11083,602.46
2026-05-19,58,1618026,2443.92
2026-04-21,60,176248,1600.73
2026-07-29,20,9055,1920.79
2026-03-23,20,149135,1500.44
2026-05-27,84,3866,814.17
2026-07-17,69,155644,1335.15
2026-06-10,43,14954,1873.81
2026-05-18,38,168451,1302.48
2026-04-28,10,38840,416.78
2026-04-02,27,118447,1994.82
2026-07-23,78,16037,111.64
2026-07-27,54,1118417,1566.12
2026-03-21,53,1108795,838.93
2026-07-09,37,107366,1377.99
2026-04-18,68,1101125,686.69
2026-07-02,56,91792,640.42
2026-06-11,9,163824,2194.71
2026-06-04,81,1154318,943.05
2026-05-25,5,10234,1533.06
2026-07-24,8,109730,1430.02
2026-05-13,33,48940,1375.71
2026-06-24,69,1095610,2012.70
2026-07-29,87,1614176,571.34
2026-04-13,13,1814686,131.39
2026-06-30,56,9937,1090.70
2026-05-23,76,107638,2235.85
2026-07-04,27,7222,2377.43
2026-03-14,39,1605734,659.71
2026-03-15,39,84327,214.23
2026-04-16,14,18357,1163.77
2026-03-29,46,73239,1207.02
2026-07-19,1,53972,793.34
2026-03-24,59,155010,184.01
2026-05-26,55,1006390,1505.40
2026-03-26,27,146746,1052.49
2026-07-21,12,1118415,1634.84
2026-04-24,75,5837,707.41
2026-05-20,65,97522,549.10
2026-03-31,46,75934,2424.29
